name,moh_area
Allipallai,Pachchilaipalli
Arasarkerni,Pachchilaipalli
Ittavil,Pachchilaipalli
Iyakachchi,Pachchilaipalli
Kachcharveli,Pachchilaipalli
Kilali,Pachchilaipalli
Kovilvayal,Pachchilaipalli
Masar,Pachchilaipalli
Mugamalai,Pachchilaipalli
Mugavil,Pachchilaipalli
Mullaiyady,Pachchilaipalli
Pallai Town,Pachchilaipalli
Pulopallai,Pachchilaipalli
Pulopallai West,Pachchilaipalli
Soranpattu,Pachchilaipalli
Thambagamam,Pachchilaipalli
Tharmakerny,Pachchilaipalli
Vembodukerny,Pachchilaipalli
Elephant Pass,Kandavalai
Kalmadunagar,Kandavalai
Kandawalai,Kandavalai
Korakkankaddu,Kandavalai
Kumarapuram,Kandavalai
Murasumoddai,Kandavalai
Paranthan,Kandavalai
Periyakulam,Kandavalai
Piramanthanaru,Kandavalai
Puliyampokkanai,Kandavalai
Puthiya Punnaineeravi,Kandavalai
Thadduvankoddy,Kandavalai
Tharmapuram East,Kandavalai
Tharmapuram West,Kandavalai
Umaiyalpuram,Kandavalai
Uriyan,Kandavalai
Akkarayan kulam,Karachchi
Ampalkulam,Karachchi
Ampalnakar,Karachchi
Anaivilunthaankulam,Karachchi
Ananthapuram,Karachchi
Civic Center,Karachchi
Jeyanthinagar,Karachchi
Kanagambikaykulam,Karachchi
Kanagapuram,Karachchi
Ganeshapuram,Karachchi
Kannakai puram,Karachchi
Kili Town,Karachchi
Konavil,Karachchi
Krishnapuram,Karachchi
Malaiyalapuram,Karachchi
Maruthanakar,Karachchi
Mavadiyamman,Karachchi
Mayavanoor,Karachchi
Pannankandy,Karachchi
Barathi puram,Karachchi
Periya Paranthan,Karachchi
Ponnagar,Karachchi
Puthumurippu,Karachchi
Ramanathapuram,Karachchi
Rathinapuram,Karachchi
Selvanakar,Karachchi
Sivanakar,Karachchi
Skantha puram,Karachchi
Thirunagar North,Karachchi
Thirunagar South,Karachchi
Thiruvaiyaru,Karachchi
Thiruvaiyaru West,Karachchi
Thondamannagar,Karachchi
Uruthirapuram East,Karachchi
Uruththiram puram North,Karachchi
Uruthirapuram West,Karachchi
Uthayanagar East,Karachchi
Uthayanagar West,Karachchi
Uttupulam,Karachchi
Vaddakachchi,Karachchi
Vannerikulam,Karachchi
Vivegananthanagar,Karachchi
Alankerny,Poonakary
Cheddiyakurichchi,Poonakary
Gnanimadam,Poonakary
Iranaitivu,Poonakary
Jayapuram North,Poonakary
Jeyapuram South,Poonakary
Kariyalainagapaduvan,Poonakary
Kiranchi,Poonakary
Kollakuruchchi,Poonakary
Gowtharimunai,Poonakary
Madduvilnadu East,Poonakary
Madduvilnadu West,Poonakary
Mulankavil,Poonakary
Nachchikuda,Poonakary
Nallur,Poonakary
Pallavarayankaddu,Poonakary
Pallikuda,Poonakary
Paramankirai,Poonakary
Ponnaveli,Poonakary
