name,moh_area
Alankulam,Thunukkai
Amaithipuram,Thunukkai
Ampalapperumalkulam,Thunukkai
Anichchiyankulam,Thunukkai
Barathinagar,Thunukkai
Iyankankulam,Thunukkai
Kalvilan,Thunukkai
Koddaikaddiyakulam,Thunukkai
Mallavi,Thunukkai
Palayamurikandy,Thunukkai
Pugalenthinagar,Thunukkai
Puththuvedduvan,Thunukkai
Thenniyankulam,Thunukkai
Therankandal,Thunukkai
Thirunagar,Thunukkai
Thunukkai,Thunukkai
Uyilankulam,Thunukkai
Yogapuram Centre,Thunukkai
Yogapuram East,Thunukkai
Yogapuram West,Thunukkai
Ampalpuram,Manthai East
Karumpulliyan,Manthai East
Kollavilankulam,Manthai East
Moonrumurippu,Manthai East
Naddankandal,Manthai East
Oddaruththakulam,Manthai East
Palinagar,Manthai East
Pandiyankulam,Manthai East
Ponnagar,Manthai East
Poovarasankullam,Manthai East
Selvapuram,Manthai East
Siraddikulam,Manthai East
Sivapuram,Manthai East
Vannivilankulam,Manthai East
Vinayagapuram,Manthai East
Ananthapuram,Puthukudiyiruppu
Iranaipalai,Puthukudiyiruppu
Kombavil,Puthukudiyiruppu
Mallikaitheevu,Puthukudiyiruppu
Manikkapuram,Puthukudiyiruppu
Mannakandal,Puthukudiyiruppu
Manthuvil,Puthukudiyiruppu
Puthukkudiyiruppu East,Puthukudiyiruppu
Puthukkudiyiruppu West,Puthukudiyiruppu
Sivanagar,Puthukudiyiruppu
Suthanthirapuram,Puthukudiyiruppu
Theravil,Puthukudiyiruppu
Thevipuram,Puthukudiyiruppu
Udaiyarkaddu North,Puthukudiyiruppu
Udaiyarkaddu South,Puthukudiyiruppu
Vallipunam,Puthukudiyiruppu
Valluvarpuram,Puthukudiyiruppu
Visvamadu East,Puthukudiyiruppu
Visuvamadu West,Puthukudiyiruppu
Ampagamam,Oddusuddan
Ganesapuram,Oddusuddan
Ithupuram,Oddusuddan
Kanakaradnapuram,Oddusuddan
Karuvalankandal,Oddusuddan
Kachchilaimadu,Oddusuddan
Kathaliyarsamalankulam,Oddusuddan
Koolamurippu,Oddusuddan
Manavalanpaddamurippu,Oddusuddan
Mankulam,Oddusuddan
Muththaiyankaddukulam,Oddusuddan
Muththuvinayakapuram,Oddusuddan
Oddusuddan,Oddusuddan
Olumadu,Oddusuddan
Othiyamalai,Oddusuddan
Palampasi,Oddusuddan
Pandaravanni,Oddusuddan
Panikkankulam,Oddusuddan
Peraru,Oddusuddan
Periyaiththimadu,Oddusuddan
Periyakulam,Oddusuddan
Puliyankulam,Oddusuddan
Thachchadampan,Oddusuddan
Thanduvan,Oddusuddan
Thaddayamalai,Oddusuddan
Thirumurukandy,Oddusuddan
Vithiyapuram,Oddusuddan
Alampil North,Maritimepattu
Alampil South,Maritimepattu
Ampalavanpokkanai,Maritimepattu
Semmalai,Maritimepattu
Chemmalai East,Maritimepattu
Chilawattai,Maritimepattu
Silawaththai South,Maritimepattu
Keekkirapuram,Maritimepattu
Kallappadu North,Maritimepattu
Kallappadu South,Maritimepattu
Kanukkerni East,Maritimepattu
Kanukkerni West,Maritimepattu
Karunaddukkerny,Maritimepattu
Keppapilavu,Maritimepattu
Kokkulai East,Maritimepattu
Kokkulai West,Maritimepattu
Kokkuththoduvai Centre,Maritimepattu
Kokuthoduvai North,Maritimepattu
Kokkuththoduvai South,Maritimepattu
Kovilkudiyiruppu,Maritimepattu
Kumarapuram,Maritimepattu
Kumulamunai Centre,Maritimepattu
Kumulamunai East,Maritimepattu
Kumulamunai West,Maritimepattu
Mamoolai,Maritimepattu
Manalkudiyiruppu,Maritimepattu
Mathavalasingankulam,Maritimepattu
Mullaitivu South,Maritimepattu
Mullaitivu Town,Maritimepattu
Mullivaikkal East,Maritimepattu
Mullivaikkal West,Maritimepattu
Mulliyawalai Centre,Maritimepattu
Mulliyawalai East,Maritimepattu
Mulliyawalai North,Maritimepattu
Mulliyawalai South,Maritimepattu
Mulliyawalai West,Maritimepattu
Neeravipiddy East,Maritimepattu
Neeravipiddy West,Maritimepattu
Putharikuda,Maritimepattu
Selvapuram,Maritimepattu
Thannimurippu,Maritimepattu
Thanniyoottu East,Maritimepattu
Thaniyoottu West,Maritimepattu
Uppumaveli,Maritimepattu
Vannankulam,Maritimepattu
Vattappalai,Maritimepattu
Kalyanipura,Welioya
Kiriebbanwewa,Welioya
Nikawewa - South,Welioya
Ahatugaswewa,Welioya
Ethawatunu wewa,Welioya
Nikawewa - Left,Welioya
New Gajabhapura,Welioya
Janakapura,Welioya
Gajabhapura,Welioya
