name,moh_area
Sewajanapadaya,Padavi Sri Pura
Gemunu Pura,Padavi Sri Pura
Kavanthissa Pura,Padavi Sri Pura
Lassana Gama,Padavi Sri Pura
Singhapura,Padavi Sri Pura
Paranamedawachchiya,Padavi Sri Pura
Samanpura,Padavi Sri Pura
Sri Thissapura,Padavi Sri Pura
Sri Pura,Padavi Sri Pura
Jayanthi Wewa,Padavi Sri Pura
Thennamaravadi,Kuchchaveli
Pulmoddai 03,Kuchchaveli
Pulmoddai 02,Kuchchaveli
Pulmoddai 01,Kuchchaveli
Pulmoddai 04,Kuchchaveli
Thiriyai,Kuchchaveli
Senthoor,Kuchchaveli
Kaddu kulam,Kuchchaveli
Kallampaththai,Kuchchaveli
Kuchchaveli,Kuchchaveli
Iranaikkeni,Kuchchaveli
Veerancholai,Kuchchaveli
Jaya Nagar,Kuchchaveli
Cassim Nagar,Kuchchaveli
Kumburupitiya South,Kuchchaveli
Kumburupitiya North,Kuchchaveli
Kumburupitiya East,Kuchchaveli
Nilaveli,Kuchchaveli
Irakkandy,Kuchchaveli
Gopalapuram,Kuchchaveli
Veloor,Kuchchaveli
Iqbal Nagar,Kuchchaveli
Periyakulam,Kuchchaveli
Valaiyuttu,Kuchchaveli
Gomarankadawala,Gomarankadawala
Kalyanapura,Gomarankadawala
Galkadawala,Gomarankadawala
Pamburugaswewa,Gomarankadawala
Kandamalawa,Gomarankadawala
Madawachchiya,Gomarankadawala
Kivulakadawela,Gomarankadawala
Pulikandykulama,Gomarankadawala
Maila Wewa,Gomarankadawala
Bakmeegama,Gomarankadawala
Penikatiyawa,Morawewa
Mahathulwewa,Morawewa
Mahadiwul Wewa Stage 02,Morawewa
Nochchikulam,Morawewa
Morawewa South,Morawewa
Morawewa North,Morawewa
Awwai Nagar,Morawewa
Namalwatta,Morawewa
Kitul Ultuwa,Morawewa
Morawewa Pankulama,Morawewa
Vilgama,Trincomalee Town and Gravets
Velveri,Trincomalee Town and Gravets
Kanniya,Trincomalee Town and Gravets
Illapaikulam,Trincomalee Town and Gravets
Sampalthivu,Trincomalee Town and Gravets
Salli,Trincomalee Town and Gravets
Uppuveli,Trincomalee Town and Gravets
Puliyankulam,Trincomalee Town and Gravets
Varothyanagar,Trincomalee Town and Gravets
Peeliyadi,Trincomalee Town and Gravets
Mangaiyuthu,Trincomalee Town and Gravets
Andankulam,Trincomalee Town and Gravets
Singhapura,Trincomalee Town and Gravets
Kovilady,Trincomalee Town and Gravets
Palaiyoottu,Trincomalee Town and Gravets
Abayapura,Trincomalee Town and Gravets
Anpuvalipuram,Trincomalee Town and Gravets
Mihindupura,Trincomalee Town and Gravets
Selvanayagapuram,Trincomalee Town and Gravets
Jinnanagar,Trincomalee Town and Gravets
Murugapuri,Trincomalee Town and Gravets
Thirikkadaloor,Trincomalee Town and Gravets
Pattanatheru,Trincomalee Town and Gravets
Peruntheru,Trincomalee Town and Gravets
Sivapuri,Trincomalee Town and Gravets
Linganagar,Trincomalee Town and Gravets
Mudcove,Trincomalee Town and Gravets
Poompuhar,Trincomalee Town and Gravets
Sumedhankarapura,Trincomalee Town and Gravets
Muththunagar,Trincomalee Town and Gravets
