name,moh_area
Analativu North,Island North (Kayts)
Analaitivu South,Island North (Kayts)
Eluvaitivu,Island North (Kayts)
Paruthiyadaippu,Island North (Kayts)
Kayts,Island North (Kayts)
Karampon,Island North (Kayts)
Karampon East,Island North (Kayts)
Naranthanai North West,Island North (Kayts)
Naranthanai North,Island North (Kayts)
Naranthanai,Island North (Kayts)
Naranthanai South,Island North (Kayts)
Karampon South East,Island North (Kayts)
Karampon West,Island North (Kayts)
Puliyankoodal,Island North (Kayts)
Suruvil,Island North (Kayts)
Vadducoddai East,Valikamam West (Chankanai)
Vadducoddai North,Valikamam West (Chankanai)
Sangarathai,Valikamam West (Chankanai)
Araly West,Valikamam West (Chankanai)
Araly Centre,Valikamam West (Chankanai)
Araly South,Valikamam West (Chankanai)
Araly East,Valikamam West (Chankanai)
Arali North,Valikamam West (Chankanai)
Vedducoddai South,Valikamam West (Chankanai)
Vadducoddai South West (North),Valikamam West (Chankanai)
Vadducoddai  West,Valikamam West (Chankanai)
Tholpuram East,Valikamam West (Chankanai)
Tholpuram  West,Valikamam West (Chankanai)
Ponnalai,Valikamam West (Chankanai)
Moolai,Valikamam West (Chankanai)
Chulipuram West,Valikamam West (Chankanai)
Chulipuram  Centre,Valikamam West (Chankanai)
Chulipuram  East,Valikamam West (Chankanai)
Pannagam,Valikamam West (Chankanai)
Panfippulam,Valikamam West (Chankanai)
Sithankerny,Valikamam West (Chankanai)
Chankanai East,Valikamam West (Chankanai)
Chankanai West,Valikamam West (Chankanai)
Chankanai South,Valikamam West (Chankanai)
Chankanai Centre,Valikamam West (Chankanai)
Suthumalai North,Valikamam South-West (Sandilipay)
Suthumalai South,Valikamam South-West (Sandilipay)
Savalkaddu,Valikamam South-West (Sandilipay)
Uyarappulam,Valikamam South-West (Sandilipay)
Ana‍icoddai,Valikamam South-West (Sandilipay)
Navali North,Valikamam South-West (Sandilipay)
Navaly East,Valikamam South-West (Sandilipay)
Navali South,Valikamam South-West (Sandilipay)
Manipay North,Valikamam South-West (Sandilipay)
Manipay East,Valikamam South-West (Sandilipay)
Manipay South,Valikamam South-West (Sandilipay)
Manipay West,Valikamam South-West (Sandilipay)
Sandilipay North,Valikamam South-West (Sandilipay)
Sandilipay Centre,Valikamam South-West (Sandilipay)
Sandilipay West,Valikamam South-West (Sandilipay)
Mahiyappiddy,Valikamam South-West (Sandilipay)
Vadaliyadaippu,Valikamam South-West (Sandilipay)
Pandaththarippu,Valikamam South-West (Sandilipay)
Piranpattu,Valikamam South-West (Sandilipay)
Si‍lalai North,Valikamam South-West (Sandilipay)
