name,moh_area
Rotalawela,Mahiyanganaya
Divulapelessa,Mahiyanganaya
Aluyatawala,Mahiyanganaya
Theldeniyaya,Mahiyanganaya
Hebarawa,Mahiyanganaya
Ginnoruwa,Mahiyanganaya
Belaganwewa,Mahiyanganaya
Ulhitiya,Mahiyanganaya
Pahala Rathkinda,Mahiyanganaya
Hobariyawa,Mahiyanganaya
Millattawa,Mahiyanganaya
Wiranegama,Mahiyanganaya
Aluttarama,Mahiyanganaya
Girandurukotte,Mahiyanganaya
Bathalayaya,Mahiyanganaya
Haddattawa,Mahiyanganaya
Meegahahena,Mahiyanganaya
Galporuyaya,Mahiyanganaya
Beligalla,Mahiyanganaya
Dambana,Mahiyanganaya
Kukulapola,Mahiyanganaya
Wewatta,Mahiyanganaya
Thalangamuwa,Mahiyanganaya
Sorabora,Mahiyanganaya
Wewgampaha,Mahiyanganaya
Dehigolla,Mahiyanganaya
Elewela,Mahiyanganaya
Mahiyangana Town,Mahiyanganaya
Poojanagaraya,Mahiyanganaya
Dambarawa,Mahiyanganaya
Senanigama,Mahiyanganaya
Mapakadawewa,Mahiyanganaya
Pangaragammana,Mahiyanganaya
Dambagolla,Mahiyanganaya
Medayaya,Mahiyanganaya
Orubendiwewa,Rideemaliyadda
Sangabopura,Rideemaliyadda
Welampele,Rideemaliyadda
Keselpotha North,Rideemaliyadda
Ikiriyagoda,Rideemaliyadda
Kandubedda,Rideemaliyadda
Aralupitiya,Rideemaliyadda
Ekiriyankumbura,Rideemaliyadda
Dehigama,Rideemaliyadda
Morana,Rideemaliyadda
Kudalunuka,Rideemaliyadda
Aluketiyawa,Rideemaliyadda
Keselpotha South,Rideemaliyadda
Serana,Rideemaliyadda
Arawatta,Rideemaliyadda
Uva Gemunupura,Rideemaliyadda
Senewigama,Rideemaliyadda
Uva Thissapura,Rideemaliyadda
Gamakumbura North,Rideemaliyadda
Kooralewela,Rideemaliyadda
Nagadeepa,Rideemaliyadda
Mahalunuka,Rideemaliyadda
Pethiyagoda,Rideemaliyadda
Rideemaliyadda South,Rideemaliyadda
Rideemaliyadda North,Rideemaliyadda
Uraniya,Rideemaliyadda
Kotathalawa,Rideemaliyadda
Andaulapatha,Rideemaliyadda
Gamakumbura South,Rideemaliyadda
Abhayapura,Rideemaliyadda
Dikkendayaya,Rideemaliyadda
Pahalaoyagama,Rideemaliyadda
Bubula,Rideemaliyadda
Ritigahaarawa,Rideemaliyadda
Kandegama,Rideemaliyadda
Mahagama,Rideemaliyadda
Kuruvithenna,Rideemaliyadda
