name,moh_area
Ridee Ela,Dehiattakandiya
Bakmeedeniya,Dehiattakandiya
Dehiattakandiya,Dehiattakandiya
Kadirapura,Dehiattakandiya
Mawanagama,Dehiattakandiya
Lihiniyagama,Dehiattakandiya
Serupitiya,Dehiattakandiya
Sadamadulla,Dehiattakandiya
Sandunpura,Dehiattakandiya
Paranagama,Dehiattakandiya
Ihalagama,Dehiattakandiya
Nawa Medagama,Dehiattakandiya
Wewmedagama,Dehiattakandiya
Galode,Padiyathalawa
Palathuruwella,Padiyathalawa
Pulungasmulla,Padiyathalawa
Serankada,Padiyathalawa
Unapana,Padiyathalawa
Hagamwela,Padiyathalawa
Kirawana,Padiyathalawa
Padiyathalawa,Padiyathalawa
Thalapitaoya Left,Padiyathalawa
Saranagama,Padiyathalawa
Pallegama,Padiyathalawa
Moradeniya,Padiyathalawa
Thalapitaoya South,Padiyathalawa
Holike,Padiyathalawa
Kehelulla,Padiyathalawa
Miriswatta,Padiyathalawa
Kolamanthalawa,Padiyathalawa
Dorakumbura,Padiyathalawa
Marangala,Padiyathalawa
Komana,Padiyathalawa
Bogamuyaya,Mahaoya
Tempitiya,Mahaoya
Poolawala,Mahaoya
Bedirekka,Mahaoya
Unuwathura Bubula,Mahaoya
Eddapola,Mahaoya
Thapelpola,Mahaoya
Mahaoya,Mahaoya
Samagipura,Mahaoya
Borapola,Mahaoya
Kelavinna,Mahaoya
Dambadeniya,Mahaoya
Kekirihena,Mahaoya
Kudaharasgala,Mahaoya
Lahugala,Mahaoya
Pollebedda,Mahaoya
Aranthalawa,Mahaoya
Piyangala,Uhana
Nugelanda North,Uhana
Nugelanda South,Uhana
Bakkiella,Uhana
Rajagalathenna South,Uhana
Rajagalathenna North,Uhana
Gonagolla,Uhana
Galapitagala West,Uhana
Galapitagala East,Uhana
Kothmale,Uhana
Mayadunna,Uhana
Nawagiriyawa,Uhana
Bandaradoowa,Uhana
Lathugala,Uhana
Bokkabedda,Uhana
Kohombana,Uhana
Walgampura,Uhana
Weeranketagoda,Uhana
Senagama North,Uhana
Senagama South,Uhana
Gonagala,Uhana
Veheragama East,Uhana
Veheragama West,Uhana
Gamunupura,Uhana
Siyambalawewa,Uhana
Rajagama North,Uhana
Rajagama South,Uhana
Suhadagama North,Uhana
Suhadagama South,Uhana
Kumarigama,Uhana
Komariya,Uhana
Udagirigama West,Uhana
Udagirigama East,Uhana
Galahitiyagoda,Uhana
Mahakandiya,Uhana
Kahatagasyaya,Uhana
Welikahagolla,Uhana
Dematamalpelessa,Uhana
Uhana,Uhana
Uhana Thissapura West,Uhana
Uhana Thissapura East,Uhana
Udayapura,Uhana
Sandanadapura,Uhana
Weeragoda North,Uhana
Weeragoda South,Uhana
Dadayamthalawa West,Uhana
Dadayamthalawa East,Uhana
Vijayapura East,Uhana
Vijayapura West,Uhana
Kumudugama,Uhana
Ruhunugama,Uhana
Buddhangala,Uhana
Bridge Camp,Uhana
Himidurawa,Uhana
Abhayapura,Uhana
Dambethalawa,Ampara
Samapura,Ampara
Karangawa,Ampara
Gemunupura,Ampara
Thissapura,Ampara
Nawagampura,Ampara
Senanayakepura,Ampara
Jayawardhanapura,Ampara
Indrasarapura,Ampara
Mihindupura,Ampara
Saddhathissapura,Ampara
Kotavehera,Ampara
Paragahakele East,Ampara
Paragahakele West,Ampara
Ambagahawella,Ampara
Ambamalthalawa,Ampara
Namalthalawa,Ampara
Namal Oya 02,Ampara
Polwaga coloney,Ampara
Wavinna North,Ampara
Wavinna South,Ampara
Namal Oya (i),Ampara
Central Camp 01,Navithanvelly
Central Camp 02,Navithanvelly
Central Camp 03,Navithanvelly
Central Camp 05,Navithanvelly
Central Camp 06,Navithanvelly
Central Camp 04,Navithanvelly
Chalambaikeny 03,Navithanvelly
Chalampakeny 04,Navithanvelly
Chalampakeny 05,Navithanvelly
Chalampakeny 01,Navithanvelly
Chalambaikerny 02,Navithanvelly
Sorrikkalmunai 3,Navithanvelly
Sorrikkalmunai 1,Navithanvelly
Sorrikkalmunai 2,Navithanvelly
Chavalakade,Navithanvelly
Navithanveli 02,Navithanvelly
Annamalai 03,Navithanvelly
Annamalai 02,Navithanvelly
Navithanveli 01,Navithanvelly
Annamale 01,Navithanvelly
Veeramunai 04,Samanthurai
Sammanthurai 08,Samanthurai
Sammanthurai 06,Samanthurai
Sammanthurai Tamil Div.01,Samanthurai
Sammanthurai Tamil Div.04,Samanthurai
Sammanthurai Tamil Div.02,Samanthurai
Sammanthurai 01,Samanthurai
Sammanthurai 02,Samanthurai
Sammanthurai 05,Samanthurai
Karuwaddukal 01,Samanthurai
Karuwaddukal 03,Samanthurai
Karuwaddukal 02,Samanthurai
Sammanthurai 11,Samanthurai
Sammanthurai 10,Samanthurai
Sammanthurai 09,Samanthurai
Sammanthurai 07,Samanthurai
Sammanthurai 04,Samanthurai
Sammanthurai Tamil Div.03,Samanthurai
Maddakalaputharavai 02,Samanthurai
Maddakalaputharavai 01,Samanthurai
Sammanthurai 03,Samanthurai
Veeramunai 03,Samanthurai
Veeramunai 02,Samanthurai
Veeramunai 01,Samanthurai
Sammanthurai 12,Samanthurai
Malwatte 02,Samanthurai
Block 'J' East 01,Samanthurai
Block 'J' West 02,Samanthurai
Kallarichchel 02,Samanthurai
Block 'J' West 01,Samanthurai
Kallarichchel 03,Samanthurai
Udanga 01,Samanthurai
Udanga 02,Samanthurai
Vilinayadi 01,Samanthurai
Sennelgramam 01,Samanthurai
Sennelgramam 02,Samanthurai
Block 'J' East 03,Samanthurai
Block 'J' East 02,Samanthurai
Malayadikiramam 01,Samanthurai
Malayadikiramam 03,Samanthurai
Malwatte 03,Samanthurai
Malwatte 01,Samanthurai
Malkampiddy,Samanthurai
Malayadikiramam 04,Samanthurai
Malayadikiramam 02,Samanthurai
Vilinayadi 02,Samanthurai
Vilinayadi 03,Samanthurai
Kallarichchel 01,Samanthurai
Valathapitty 02,Samanthurai
Valathapitty 01,Samanthurai
Malwatte 04,Samanthurai
Periyaneelavanai Muslim Section 01,Kalmunai
Periyaneelavanai Muslim Section 02,Kalmunai
Maruthamunai 01,Kalmunai
Maruthamunai 02,Kalmunai
Maruthamunai 03,Kalmunai
Maruthamunai 04,Kalmunai
Maruthamunai 05,Kalmunai
Maruthamunai 06,Kalmunai
Natpittimanai Muslim Division 03,Kalmunai
Natpittimunai Muslim Division 02,Kalmunai
Natpittimunai Muslim Division 01,Kalmunai
Natpittimunai Muslim Division 05,Kalmunai
Natpittimunai Muslim Division 04,Kalmunai
Islamabad & Kalmunai Town,Kalmunai
Kalmunai Muslim Section,Kalmunai
Kalmunaikudy 01,Kalmunai
Kalmunaikudy 03,Kalmunai
Kalmunaikudy 02,Kalmunai
Kalmunaikudy 04,Kalmunai
Kalmunaikudy 05,Kalmunai
Kalmunaikudy 06,Kalmunai
Kalmunaikudy 08,Kalmunai
Kalmunaikudy 09,Kalmunai
Kalmunaikudy 07,Kalmunai
Kalmunaikudy 10,Kalmunai
Kalmunaikudy 11,Kalmunai
Kalmunaikudy 12,Kalmunai
Kalmunaikudy 13,Kalmunai
Kalmunaikudy 14,Kalmunai
Pandirippu‐1,Kalmunai
Sainthamaruthu 1,Sainthamarathu
Sainthamaruthu 2,Sainthamarathu
Sainthamaruthu 3,Sainthamarathu
Sainthamaruthu 4,Sainthamarathu
Sainthamaruthu 5,Sainthamarathu
Sainthamaruthu 6,Sainthamarathu
Sainthamaruthu 7,Sainthamarathu
Sainthamaruthu 8,Sainthamarathu
Sainthamaruthu 9,Sainthamarathu
Sainthamaruthu 10,Sainthamarathu
Sainthamaruthu 11,Sainthamarathu
Sainthamaruthu 13,Sainthamarathu
Sainthamaruthu 12,Sainthamarathu
Sainthamaruthu 17,Sainthamarathu
Sainthamaruthu 14,Sainthamarathu
Sainthamaruthu 15,Sainthamarathu
Sainthamaruthu 16,Sainthamarathu
Kalmunai‐1,Kalmunai North Sub Office
Kalmunai‐1A,Kalmunai North Sub Office
Kalmunai‐1B,Kalmunai North Sub Office
Kalmunai‐1C,Kalmunai North Sub Office
Kalmunai‐1D,Kalmunai North Sub Office
Kalmunai‐1E,Kalmunai North Sub Office
Kalmunai‐2,Kalmunai North Sub Office
Kalmunai‐2A,Kalmunai North Sub Office
Kalmunai‐2B,Kalmunai North Sub Office
Kalmunai‐3,Kalmunai North Sub Office
Kalmunai‐3A,Kalmunai North Sub Office
Pandirippu‐1A,Kalmunai North Sub Office
Pandirippu‐1B,Kalmunai North Sub Office
Pandirippu‐1C,Kalmunai North Sub Office
Pandirippu‐2,Kalmunai North Sub Office
Pandirippu‐2A,Kalmunai North Sub Office
Pandirippu‐2B,Kalmunai North Sub Office
Pandirippu‐2C,Kalmunai North Sub Office
Natpaddimunai TD 1,Kalmunai North Sub Office
Natpaddimunai TD 2,Kalmunai North Sub Office
Natpaddimunai TD 3,Kalmunai North Sub Office
Chennaipendirippu‐1,Kalmunai North Sub Office
Chennaipendirippu‐1A,Kalmunai North Sub Office
Chennaipendirippu‐1B,Kalmunai North Sub Office
Periyaneelavanai‐1,Kalmunai North Sub Office
Periyaneelavanai‐1A,Kalmunai North Sub Office
Periyaneelavanai‐1B,Kalmunai North Sub Office
Periyaneelavanai‐2,Kalmunai North Sub Office
Mavadippalli West,Karaitivu
Mavadippalli East,Karaitivu
Maligaikadu West,Karaitivu
Maligaikadu Central,Karaitivu
Maligaikadu East,Karaitivu
Karaitivu 03,Karaitivu
Karaitivu 02,Karaitivu
Karaitivu 01,Karaitivu
Karaitivu 06,Karaitivu
Karaitivu 05,Karaitivu
Karaitivu 04,Karaitivu
Karaitivu 08,Karaitivu
Karaitivu 07,Karaitivu
Karaitivu 10,Karaitivu
Karaitivu 09,Karaitivu
Karaitivu 11,Karaitivu
Karaitivu 12,Karaitivu
Nintavur 24,Ninthavur
Nintavur 11,Ninthavur
Nintavur 12,Ninthavur
Nintavur 01,Ninthavur
Nintavur 02,Ninthavur
Nintavur 13,Ninthavur
Nintavur 14,Ninthavur
Nintavur 15,Ninthavur
Nintavur 03,Ninthavur
Nintavur 04,Ninthavur
Nintavur 16,Ninthavur
Nintavur 17,Ninthavur
Nintavur 18,Ninthavur
Nintavur 05,Ninthavur
Nintavur 06,Ninthavur
Nintavur 19,Ninthavur
Nintavur 25,Ninthavur
Nintavur 20,Ninthavur
Nintavur 07,Ninthavur
Nintavur 08,Ninthavur
Nintavur 21,Ninthavur
Nintavur 22,Ninthavur
Nintavur 09,Ninthavur
Nintavur 10,Ninthavur
Nintavur 23,Ninthavur
Deegawapi-01,Addalaichenai
Oluvil 01,Addalaichenai
Oluvil 04,Addalaichenai
Oluvil 06,Addalaichenai
Oluvil 05,Addalaichenai
Oluvil 03,Addalaichenai
Oluvil 02,Addalaichenai
Palamunai-06,Addalaichenai
Oluvil 07,Addalaichenai
Palamunai-02,Addalaichenai
Palamunai-01,Addalaichenai
Palamunai 03,Addalaichenai
Palamunai-04,Addalaichenai
Palamunai 05,Addalaichenai
Addalaichenai 02,Addalaichenai
Addalaichenai 09,Addalaichenai
Addalaichenai 10,Addalaichenai
Addalaichenai 08,Addalaichenai
Addalaichenai 06,Addalaichenai
Addalaichenai 01,Addalaichenai
Addalaichenai 11,Addalaichenai
Addalaichenai 03,Addalaichenai
Addalaichenai 07,Addalaichenai
Addalaichenai 12,Addalaichenai
Addalaichenai 14,Addalaichenai
Addalaichenai 13,Addalaichenai
Addalaichenai 04,Addalaichenai
Addalaichenai 15,Addalaichenai
Addalaichenai 16,Addalaichenai
Addalaichenai 05,Addalaichenai
Addalaichenai 17,Addalaichenai
Deegawapiya 02,Addalaichenai
Irakkamam 07,Irakkamam
Varipathanchenai 01,Irakkamam
Irakkamam 02,Irakkamam
Irakkamam 08,Irakkamam
Irakkamam 09,Irakkamam
Irakkamam 06,Irakkamam
Irakkamam 01,Irakkamam
Irakkamam 03,Irakkamam
Varipathanchenai 03,Irakkamam
Irakkamam 05,Irakkamam
Irakkamam 04,Irakkamam
Varipathanchenai 02,Irakkamam
Alim Nagar,Akkaraipattu
Issanganicheemai,Akkaraipattu
Pallikudiyiruppu 02,Akkaraipattu
Paddiyadippiddy,Akkaraipattu
Akkaraipattu-6,Akkaraipattu
Akkaraipattu-5,Akkaraipattu
Akkaraipattu-4,Akkaraipattu
Akkaraipattu-16,Akkaraipattu
Akkaraipattu-15,Akkaraipattu
Akkaraipattu-14,Akkaraipattu
Akkaraipattu-13,Akkaraipattu
Akkaraipattu-12,Akkaraipattu
Akkaraipattu-11,Akkaraipattu
Akkaraipattu-1,Akkaraipattu
Town Division-3,Akkaraipattu
Akkaraipattu-10,Akkaraipattu
Town Division-2,Akkaraipattu
Akkaraipattu-2,Akkaraipattu
Akkaraipattu-3,Akkaraipattu
Akkaraipattu-17,Akkaraipattu
Akkaraipattu-18,Akkaraipattu
Akkaraipattu-20,Akkaraipattu
Akkaraipattu-21,Akkaraipattu
Pallikudiyiruppu-1,Akkaraipattu
Akkaraipattu-19,Akkaraipattu
Town Division-1,Akkaraipattu
Town Division-5,Akkaraipattu
Town Division-4,Akkaraipattu
Akkaraipattu 8/1,Alayadiwembu
Akkaraipattu 9,Alayadiwembu
Akkaraipattu 8/3,Alayadiwembu
Akkaraipattu 8/2,Alayadiwembu
Akkaraipattu 7/1,Alayadiwembu
Akkaraipattu 7/2,Alayadiwembu
Wachchikuda,Alayadiwembu
Kannakikiramam 01,Alayadiwembu
Aligambai,Alayadiwembu
Akkaraipattu 7/4,Alayadiwembu
Akkaraipattu 7/3,Alayadiwembu
Akkaraipattu 7,Alayadiwembu
Akkaraipattu 8,Alayadiwembu
Sinnamugathuwaram,Alayadiwembu
Kolavil 03,Alayadiwembu
Navatkadu,Alayadiwembu
Kolavil 02,Alayadiwembu
Kolavil 01,Alayadiwembu
Panamkadu,Alayadiwembu
Sinnapanamkadu,Alayadiwembu
Kannakikiramam 02,Alayadiwembu
Alayadivembu,Alayadiwembu
Keenawatta,Damana
Muwangala,Damana
Galmaduwa,Damana
Uksiripura,Damana
Helagampura,Damana
Karalewa,Damana
Hingurana,Damana
Diviyagala,Damana
Padagoda,Damana
Pahalalanda,Damana
Hindakalugama,Damana
Kalugolla,Damana
Dewalahida,Damana
Koknahara,Damana
Moragahapallama,Damana
Damana,Damana
Alahena,Damana
Madawalalanda,Damana
Madana,Damana
Eggaloya,Damana
Kethsirigama,Damana
Galkanda,Damana
Pallanoya,Damana
Kivulegama,Damana
Thimbirigolla,Damana
Ambalanoya,Damana
Veheragala,Damana
18A . Janapadaya,Damana
Thottama,Damana
Kumana,Damana
Wadinagala,Damana
Pannalgama,Damana
Bakmitiyawa,Damana
Thambattai 2,Thirukkovil
Thambattai 1,Thirukkovil
Thambiluvil 1 West,Thirukkovil
Thambiluvil 1 East,Thirukkovil
Thambiluvil 1 South,Thirukkovil
Sagamam,Thirukkovil
Thambiluvil 2 West,Thirukkovil
Thambiluvil 2 North,Thirukkovil
Thambiluvil 2 East,Thirukkovil
Thirukkovil 3,Thirukkovil
Thirukkovil 1,Thirukkovil
Thirukkovil 2,Thirukkovil
Vinayagapuram04,Thirukkovil
Vinayagapuram-01,Thirukkovil
Vinayagapuram-02,Thirukkovil
Thirukkovil 4,Thirukkovil
Kanchirankuda,Thirukkovil
Kanchikudiyaru,Thirukkovil
Vinayagapuram-03,Thirukkovil
Sangamankiramam,Thirukkovil
Thandiyadi,Thirukkovil
Thangavelayuthapuram,Thirukkovil
Sangaman Kandy,Pothuvil
Sinna Ulla,Pothuvil
Sinna Puthukudiruppu,Pothuvil
Victor Estate Unit 2,Pothuvil
Vattivelly,Pothuvil
Victor Estate Unit 1,Pothuvil
Razak Moulana Nagar,Pothuvil
Sarvothayapuram,Pothuvil
Pothuvil 02 - Unit II,Pothuvil
Kundumadu,Pothuvil
Pothuvil 01  - Unit II,Pothuvil
Pakkiyawathe Unit 2,Pothuvil
Pasarichchenai,Pothuvil
Pottuvil Town,Pothuvil
Pakkiyawatta Unit 1,Pothuvil
Komari Unit 02,Pothuvil
Komari unit 01,Pothuvil
Kalappukattu,Pothuvil
Jalaldeen Square,Pothuvil
